"SAMPLE_POINT","SAMPLE_DATE","TEST","TEST_METHOD","RESULT","OPERATOR","RESULT_UNITS","STATUS"
"Lake Alexandrina: Islands",17/12/2008 12:17:00,"Turbidity","Field nephelometer probe (UofA)","43.2","=","NTU",""
"Lake Alexandrina: Islands",17/12/2008 12:17:00,"irradiance","LI-COR quantum sensor","335","=","umol/s/m2",""
"Lake Alexandrina: Islands",17/12/2008 12:17:00,"pH","Electrometric: Hydrolab minisonde (UoA field test)","8.33","=","pH Units",""
"Lake Alexandrina: Islands",17/12/2008 12:17:00,"sampling depth","measured from water surface",".5","=","Metres (m)",""
"Lake Alexandrina: Islands",17/12/2008 12:17:00,"temperature","field test","22.9","=","Degrees C",""
"Lake Alexandrina: Islands",17/12/2008 12:18:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","9.6","=","mg/L",""
"Lake Alexandrina: Islands",17/12/2008 12:18:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4860","=","uS/cm",""
"Lake Alexandrina: Islands",17/12/2008 12:18:00,"Turbidity","Field nephelometer probe (UofA)","59.7","=","NTU",""
"Lake Alexandrina: Islands",17/12/2008 12:18:00,"irradiance","LI-COR quantum sensor","173.4","=","umol/s/m2",""
"Lake Alexandrina: Islands",17/12/2008 12:18:00,"pH","Electrometric: Hydrolab minisonde (UoA field test)","8.35","=","pH Units",""
"Lake Alexandrina: Islands",17/12/2008 12:18:00,"sampling depth","measured from water surface",".75","=","Metres (m)",""
"Lake Alexandrina: Islands",17/12/2008 12:18:00,"temperature","field test","22.7","=","Degrees C",""
"Lake Alexandrina: Islands",17/12/2008 12:19:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","9.26","=","mg/L",""
"Lake Alexandrina: Islands",17/12/2008 12:19:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4870","=","uS/cm",""
"Lake Alexandrina: Islands",17/12/2008 12:19:00,"Turbidity","Field nephelometer probe (UofA)","33.5","=","NTU",""
"Lake Alexandrina: Islands",17/12/2008 12:19:00,"sampling depth","measured from water surface","1","=","Metres (m)",""
"Lake Alexandrina: Islands",17/12/2008 12:19:00,"temperature","field test","22.6","=","Degrees C",""
"Lake Alexandrina: Islands",17/12/2008 12:20:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","8.88","=","mg/L",""
"Lake Alexandrina: Islands",17/12/2008 12:20:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","4870","=","uS/cm",""
"Lake Alexandrina: Islands",17/12/2008 12:20:00,"Turbidity","Field nephelometer probe (UofA)","76.5","=","NTU",""
"Lake Alexandrina: Islands",17/12/2008 12:20:00,"sampling depth","measured from water surface","1.25","=","Metres (m)",""
"Lake Alexandrina: Islands",17/12/2008 12:20:00,"temperature","field test","22.6","=","Degrees C",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.66","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2020","=","uS/cm",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"TKN (as N)","Kjeldahl digest/ automated colorimetric method","1.51","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"Turbidity","Field nephelometer probe (UofA)","37.3","=","NTU",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"Volatile Suspended Solids","Muffle furnace @ 550C","33.3","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"alkalinity (as CaCO3)","Calculation","187","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"aluminium (soluble)","Filtration (0.45 um): ICP",".01","<","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"aluminium (total)","Acid digest: ICP","1.1","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"ammonia (as N)","Auto phenate method (field filtered)",".009","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"bathymetric depth","Measured depth to bottom","2.7","=","Metres (m)",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"bicarbonate","potentiometric titration","213","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"calcium (soluble)","Filtration (0.45 um): ICP","56.1","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"carbonate","Potentiometric titration method","7","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"chloride","Automated ferricyanide colorimetric method","1190","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"chlorophyll pigments (total)","absorbance@665nm - 99% methanol","27.3","=","ug/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"hydroxide","Automated Acidimetric Titration","0","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"iron (soluble)","Filtration (0.45 um): ICP",".005","<","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"iron (total)","Acid digest: ICP",".667","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"irradiance","LI-COR quantum sensor","1135.7","=","umol/s/m2",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"magnesium (soluble)","Filtration (0.45 um): ICP","84.7","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"manganese (soluble)","Filtration (0.45 um): ICP",".001","<","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"manganese (total)","Acid digest: ICP",".026","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"nitrogen (total as N)","sum of oxidised N and TKN","1.51","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"organic carbon (dissolved)","Combustion: IR detection (Shimadzu VCSH)","9.5","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"organic carbon (total)","Combustion: NDIR detection (Shimadzu VCSH)","20.5","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"oxidised nitrogen (as N)","Colorimetric: Cd reduction (field filtered sample)",".005","<","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"pH","Electometric method","8.5","=","pH Units",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"pH","Electrometric method (field test)","8.72","=","pH Units",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"phosphorus (sol as P)","MF(0.45um): colorimetry (field filtered)",".005","<","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"phosphorus (total as P)","Ascorbic acid: automated flow colorimetry (water)",".1","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"potassium (soluble)","Filtration (0.45 um): ICP","26","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"sampling depth","measured from water surface","0","=","Metres (m)",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"sodium (soluble)","Filtration (0.45 um): ICP","636","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"strontium (soluble)","Filtration (0.45 um): ICP-MS",".912","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"sulphate","0.45um filtration/1% HNO3, ICP emission spectro","181","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"sulphur - (total as S)","Acid digest: ICP","55.7","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"suspended solids (total inorganic)","Muffle furnace @ 550C (Uni of Adelaide)","29","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"suspended solids (total)","Total suspended solids dried at 103-105 C","62.3","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:47:00,"temperature","field test","11.6","=","Degrees C",""
"Lake Alexandrina: Middle",05/08/2008 10:48:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.44","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:48:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","3170","=","uS/cm",""
"Lake Alexandrina: Middle",05/08/2008 10:48:00,"Turbidity","Field nephelometer probe (UofA)","30.9","=","NTU",""
"Lake Alexandrina: Middle",05/08/2008 10:48:00,"irradiance","LI-COR quantum sensor","500","=","umol/s/m2",""
"Lake Alexandrina: Middle",05/08/2008 10:48:00,"pH","Electrometric method (field test)","8.76","=","pH Units",""
"Lake Alexandrina: Middle",05/08/2008 10:48:00,"sampling depth","measured from water surface",".25","=","Metres (m)",""
"Lake Alexandrina: Middle",05/08/2008 10:48:00,"temperature","field test","11.6","=","Degrees C",""
"Lake Alexandrina: Middle",05/08/2008 10:49:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.41","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:49:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","3170","=","uS/cm",""
"Lake Alexandrina: Middle",05/08/2008 10:49:00,"Turbidity","Field nephelometer probe (UofA)","30.1","=","NTU",""
"Lake Alexandrina: Middle",05/08/2008 10:49:00,"irradiance","LI-COR quantum sensor","185.3","=","umol/s/m2",""
"Lake Alexandrina: Middle",05/08/2008 10:49:00,"pH","Electrometric method (field test)","8.76","=","pH Units",""
"Lake Alexandrina: Middle",05/08/2008 10:49:00,"sampling depth","measured from water surface",".5","=","Metres (m)",""
"Lake Alexandrina: Middle",05/08/2008 10:49:00,"temperature","field test","11.6","=","Degrees C",""
"Lake Alexandrina: Middle",05/08/2008 10:50:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.4","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:50:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","3170","=","uS/cm",""
"Lake Alexandrina: Middle",05/08/2008 10:50:00,"Turbidity","Field nephelometer probe (UofA)","38.8","=","NTU",""
"Lake Alexandrina: Middle",05/08/2008 10:50:00,"irradiance","LI-COR quantum sensor","81.3","=","umol/s/m2",""
"Lake Alexandrina: Middle",05/08/2008 10:50:00,"pH","Electrometric method (field test)","8.76","=","pH Units",""
"Lake Alexandrina: Middle",05/08/2008 10:50:00,"sampling depth","measured from water surface",".75","=","Metres (m)",""
"Lake Alexandrina: Middle",05/08/2008 10:50:00,"temperature","field test","11.6","=","Degrees C",""
"Lake Alexandrina: Middle",05/08/2008 10:51:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.32","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:51:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","3180","=","uS/cm",""
"Lake Alexandrina: Middle",05/08/2008 10:51:00,"Turbidity","Field nephelometer probe (UofA)","30.3","=","NTU",""
"Lake Alexandrina: Middle",05/08/2008 10:51:00,"irradiance","LI-COR quantum sensor","44","=","umol/s/m2",""
"Lake Alexandrina: Middle",05/08/2008 10:51:00,"pH","Electrometric method (field test)","8.25","=","pH Units",""
"Lake Alexandrina: Middle",05/08/2008 10:51:00,"sampling depth","measured from water surface","1","=","Metres (m)",""
"Lake Alexandrina: Middle",05/08/2008 10:51:00,"temperature","field test","11.6","=","Degrees C",""
"Lake Alexandrina: Middle",05/08/2008 10:52:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.36","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:52:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","3180","=","uS/cm",""
"Lake Alexandrina: Middle",05/08/2008 10:52:00,"Turbidity","Field nephelometer probe (UofA)","34","=","NTU",""
"Lake Alexandrina: Middle",05/08/2008 10:52:00,"irradiance","LI-COR quantum sensor","15.5","=","umol/s/m2",""
"Lake Alexandrina: Middle",05/08/2008 10:52:00,"pH","Electrometric method (field test)","8.36","=","pH Units",""
"Lake Alexandrina: Middle",05/08/2008 10:52:00,"sampling depth","measured from water surface","1.25","=","Metres (m)",""
"Lake Alexandrina: Middle",05/08/2008 10:52:00,"temperature","field test","11.5","=","Degrees C",""
"Lake Alexandrina: Middle",05/08/2008 10:53:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.22","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:53:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","3180","=","uS/cm",""
"Lake Alexandrina: Middle",05/08/2008 10:53:00,"Turbidity","Field nephelometer probe (UofA)","32.9","=","NTU",""
"Lake Alexandrina: Middle",05/08/2008 10:53:00,"irradiance","LI-COR quantum sensor","8.43","=","umol/s/m2",""
"Lake Alexandrina: Middle",05/08/2008 10:53:00,"pH","Electrometric method (field test)","8.41","=","pH Units",""
"Lake Alexandrina: Middle",05/08/2008 10:53:00,"sampling depth","measured from water surface","1.5","=","Metres (m)",""
"Lake Alexandrina: Middle",05/08/2008 10:53:00,"temperature","field test","11.5","=","Degrees C",""
"Lake Alexandrina: Middle",05/08/2008 10:54:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.25","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:54:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","3180","=","uS/cm",""
"Lake Alexandrina: Middle",05/08/2008 10:54:00,"Turbidity","Field nephelometer probe (UofA)","29.7","=","NTU",""
"Lake Alexandrina: Middle",05/08/2008 10:54:00,"irradiance","LI-COR quantum sensor","3.9","=","umol/s/m2",""
"Lake Alexandrina: Middle",05/08/2008 10:54:00,"pH","Electrometric method (field test)","8.35","=","pH Units",""
"Lake Alexandrina: Middle",05/08/2008 10:54:00,"sampling depth","measured from water surface","1.75","=","Metres (m)",""
"Lake Alexandrina: Middle",05/08/2008 10:54:00,"temperature","field test","11.5","=","Degrees C",""
"Lake Alexandrina: Middle",05/08/2008 10:55:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.25","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:55:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","3180","=","uS/cm",""
"Lake Alexandrina: Middle",05/08/2008 10:55:00,"Turbidity","Field nephelometer probe (UofA)","27.9","=","NTU",""
"Lake Alexandrina: Middle",05/08/2008 10:55:00,"irradiance","LI-COR quantum sensor","1.85","=","umol/s/m2",""
"Lake Alexandrina: Middle",05/08/2008 10:55:00,"pH","Electrometric method (field test)","8.34","=","pH Units",""
"Lake Alexandrina: Middle",05/08/2008 10:55:00,"sampling depth","measured from water surface","2","=","Metres (m)",""
"Lake Alexandrina: Middle",05/08/2008 10:55:00,"temperature","field test","11.5","=","Degrees C",""
"Lake Alexandrina: Middle",05/08/2008 10:56:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","11.32","=","mg/L",""
"Lake Alexandrina: Middle",05/08/2008 10:56:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","3180","=","uS/cm",""
"Lake Alexandrina: Middle",05/08/2008 10:56:00,"Turbidity","Field nephelometer probe (UofA)","40.9","=","NTU",""
"Lake Alexandrina: Middle",05/08/2008 10:56:00,"sampling depth","measured from water surface","2.25","=","Metres (m)",""
"Lake Alexandrina: Middle",05/08/2008 10:56:00,"temperature","field test","11.5","=","Degrees C",""
"Lake Alexandrina: Middle",19/08/2008 14:10:00,"Acid Neutralising Capacity (as CaCO3)","titration of unfiltered field sample","182","=","mg/L",""
"Lake Alexandrina: Middle",19/08/2008 14:10:00,"Electrical Conductivity (25C)","electrometric (WTW field probe)","3870","=","uS/cm",""
"Lake Alexandrina: Middle",19/08/2008 14:10:00,"alkalinity (as CaCO3)","field titration","180","=","mg/L",""
"Lake Alexandrina: Middle",19/08/2008 14:10:00,"alkalinity (as CaCO3)","Calculation","181","=","mg/L",""
"Lake Alexandrina: Middle",19/08/2008 14:10:00,"bicarbonate","potentiometric titration","206","=","mg/L",""
"Lake Alexandrina: Middle",19/08/2008 14:10:00,"carbonate","Potentiometric titration method","7","=","mg/L",""
"Lake Alexandrina: Middle",19/08/2008 14:10:00,"hydroxide","Automated Acidimetric Titration","0","=","mg/L",""
"Lake Alexandrina: Middle",19/08/2008 14:10:00,"pH","Electrometric method (field test)","8.72","=","pH Units",""
"Lake Alexandrina: Middle",19/08/2008 14:10:00,"temperature","field test","12.3","=","Degrees C",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","10.91","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2710.4","=","uS/cm",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"TKN (as N)","Kjeldahl digest/ automated colorimetric method","1.93","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"Turbidity","Field nephelometer probe (UofA)","43.2","=","NTU",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"Volatile Suspended Solids","Muffle furnace @ 550C","50","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"alkalinity (as CaCO3)","Calculation","186","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"aluminium (soluble)","Filtration (0.45 um): ICP2",".01","<","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"aluminium (total)","Acid digest: ICP2 (high level detection)","1.21","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"ammonia (as N)","Auto phenate method",".006","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"arsenic (inorganic)","Hydride generation: AAS",".001","<","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"bathymetric depth","Measured depth to bottom","2.8","=","Metres (m)",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"bicarbonate","potentiometric titration","224","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"calcium (soluble)","Filtration (0.45 um): ICP","55.5","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"carbonate","Potentiometric titration method","1","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"chloride","Automated ferricyanide colorimetric method","995","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"chlorophyll pigments (total)","absorbance@665nm - 99% methanol","59.2","=","ug/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"hydroxide","Automated Acidimetric Titration","0","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"iron (soluble)","Filtration (0.45 um): ICP2",".005","<","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"iron (total)","Acid digest: ICP2","1.56","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"magnesium (soluble)","Filtration (0.45 um): ICP","80.1","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"manganese (soluble)","Acid digest: ICP-MS (water)",".001","<","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"manganese (total)","Acid digest: ICP-MS (freshwater)",".034","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"nitrogen (total as N)","sum of oxidised N and TKN","1.93","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"organic carbon (dissolved)","Hot persulphate oxidation","8.8","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"organic carbon (total)","Hot persulphate oxidation","23","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"oxidised nitrogen (as N)","Colorimetric: Cd reduction",".005","<","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"pH","Electometric method","8.3","=","pH Units",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"pH","Electrometric method (field test)","8.82","=","pH Units",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"phosphorus (sol as P)","MF(0.45um): colorimetry (field filtered)",".005","<","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"phosphorus (total as P)","Ascorbic acid: automated flow colorimetry (water)",".137","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"potassium (soluble)","Filtration (0.45 um): ICP","23.9","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"sampling depth","measured from water surface","0","=","Metres (m)",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"sodium (soluble)","Filtration (0.45 um): ICP","574","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"strontium (soluble)","Filtration (0.45 um): ICP-MS",".878","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"sulphate","0.45um filtration/1% HNO3, ICP emission spectro","177","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"sulphur - (total as S)","Acid digest: ICP","56","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"suspended solids (total inorganic)","Muffle furnace @ 550C (Uni of Adelaide)","48.1","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"suspended solids (total)","Total suspended solids dried at 103-105 C","98.1","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:39:00,"temperature","field test","12.4","=","Degrees C",""
"Lake Alexandrina: Middle",02/09/2008 10:40:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","10.87","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:40:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2701.6","=","uS/cm",""
"Lake Alexandrina: Middle",02/09/2008 10:40:00,"Turbidity","Field nephelometer probe (UofA)","42.8","=","NTU",""
"Lake Alexandrina: Middle",02/09/2008 10:40:00,"pH","Electrometric method (field test)","8.79","=","pH Units",""
"Lake Alexandrina: Middle",02/09/2008 10:40:00,"sampling depth","measured from water surface",".25","=","Metres (m)",""
"Lake Alexandrina: Middle",02/09/2008 10:40:00,"temperature","field test","12.4","=","Degrees C",""
"Lake Alexandrina: Middle",02/09/2008 10:41:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","10.78","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:41:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2710.4","=","uS/cm",""
"Lake Alexandrina: Middle",02/09/2008 10:41:00,"Turbidity","Field nephelometer probe (UofA)","39.3","=","NTU",""
"Lake Alexandrina: Middle",02/09/2008 10:41:00,"pH","Electrometric method (field test)","8.82","=","pH Units",""
"Lake Alexandrina: Middle",02/09/2008 10:41:00,"sampling depth","measured from water surface",".5","=","Metres (m)",""
"Lake Alexandrina: Middle",02/09/2008 10:41:00,"temperature","field test","12.4","=","Degrees C",""
"Lake Alexandrina: Middle",02/09/2008 10:42:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","10.77","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:42:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2710.4","=","uS/cm",""
"Lake Alexandrina: Middle",02/09/2008 10:42:00,"Turbidity","Field nephelometer probe (UofA)","41.1","=","NTU",""
"Lake Alexandrina: Middle",02/09/2008 10:42:00,"pH","Electrometric method (field test)","8.55","=","pH Units",""
"Lake Alexandrina: Middle",02/09/2008 10:42:00,"sampling depth","measured from water surface",".75","=","Metres (m)",""
"Lake Alexandrina: Middle",02/09/2008 10:42:00,"temperature","field test","12.3","=","Degrees C",""
"Lake Alexandrina: Middle",02/09/2008 10:43:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","10.75","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:43:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2710.4","=","uS/cm",""
"Lake Alexandrina: Middle",02/09/2008 10:43:00,"Turbidity","Field nephelometer probe (UofA)","41.2","=","NTU",""
"Lake Alexandrina: Middle",02/09/2008 10:43:00,"pH","Electrometric method (field test)","8.59","=","pH Units",""
"Lake Alexandrina: Middle",02/09/2008 10:43:00,"sampling depth","measured from water surface","1","=","Metres (m)",""
"Lake Alexandrina: Middle",02/09/2008 10:43:00,"temperature","field test","12.3","=","Degrees C",""
"Lake Alexandrina: Middle",02/09/2008 10:44:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","10.76","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:44:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2719.2","=","uS/cm",""
"Lake Alexandrina: Middle",02/09/2008 10:44:00,"Turbidity","Field nephelometer probe (UofA)","41.1","=","NTU",""
"Lake Alexandrina: Middle",02/09/2008 10:44:00,"pH","Electrometric method (field test)","8.64","=","pH Units",""
"Lake Alexandrina: Middle",02/09/2008 10:44:00,"sampling depth","measured from water surface","1.25","=","Metres (m)",""
"Lake Alexandrina: Middle",02/09/2008 10:44:00,"temperature","field test","12.2","=","Degrees C",""
"Lake Alexandrina: Middle",02/09/2008 10:45:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","10.78","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:45:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2710.4","=","uS/cm",""
"Lake Alexandrina: Middle",02/09/2008 10:45:00,"Turbidity","Field nephelometer probe (UofA)","44.5","=","NTU",""
"Lake Alexandrina: Middle",02/09/2008 10:45:00,"pH","Electrometric method (field test)","7.67","=","pH Units",""
"Lake Alexandrina: Middle",02/09/2008 10:45:00,"sampling depth","measured from water surface","1.5","=","Metres (m)",""
"Lake Alexandrina: Middle",02/09/2008 10:45:00,"temperature","field test","12.2","=","Degrees C",""
"Lake Alexandrina: Middle",02/09/2008 10:46:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","10.75","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:46:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2728","=","uS/cm",""
"Lake Alexandrina: Middle",02/09/2008 10:46:00,"Turbidity","Field nephelometer probe (UofA)","45.9","=","NTU",""
"Lake Alexandrina: Middle",02/09/2008 10:46:00,"pH","Electrometric method (field test)","7.64","=","pH Units",""
"Lake Alexandrina: Middle",02/09/2008 10:46:00,"sampling depth","measured from water surface","1.75","=","Metres (m)",""
"Lake Alexandrina: Middle",02/09/2008 10:46:00,"temperature","field test","12.2","=","Degrees C",""
"Lake Alexandrina: Middle",02/09/2008 10:47:00,"Dissolved Oxygen","TPS 90 oxygen probe - Uni of Adelaide field test","10.71","=","mg/L",""
"Lake Alexandrina: Middle",02/09/2008 10:47:00,"Electrical Conductivity (25C)","electrometric (TPS 90 field probe- Uni of Adelaide)","2719.2","=","uS/cm",""
"Lake Alexandrina: Middle",02/09/2008 10:47:00,"Turbidity","Field nephelometer probe (UofA)","41.1","=","NTU",""
"Lake Alexandrina: Middle",02/09/2008 10:47:00,"pH","Electrometric method (field test)","7.73","=","pH Units",""
"Lake Alexandrina: Middle",02/09/2008 10:47:00,"sampling depth","measured from water surface","2","=","Metres (m)",""
