"Time","A5030504","A5030504","A5030504"
"and","Discharge (Ml/day)","Discharge (Ml/day)","Discharge (Ml/day)"
"Date","Max","Mean","Min"
14/04/1974 00:00,      39.917,      34.974,      31.622
15/04/1974 00:00,      31.882,      27.701,      23.287
16/04/1974 00:00,      23.287,      21.530,      20.270
17/04/1974 00:00,      20.270,      18.559,      17.029
18/04/1974 00:00,      17.029,      15.984,      14.973
19/04/1974 00:00,      15.293,      15.171,      14.947
20/04/1974 00:00,      17.824,      15.814,      15.120
21/04/1974 00:00,      18.922,      18.487,      17.824
22/04/1974 00:00,      22.737,      18.987,      17.885
23/04/1974 00:00,      38.362,      31.811,      22.737
24/04/1974 00:00,      48.470,      37.932,      28.964
25/04/1974 00:00,      28.964,      26.077,      24.192
26/04/1974 00:00,      27.562,      26.950,      25.219
27/04/1974 00:00,     189.562,      89.920,      24.710
28/04/1974 00:00,      78.573,      52.501,      41.040
29/04/1974 00:00,     138.326,      83.857,      43.286
30/04/1974 00:00,     114.134,      97.029,      76.632
01/05/1974 00:00,      76.632,      63.435,      50.811
02/05/1974 00:00,      50.811,      42.984,      37.364
03/05/1974 00:00,      37.364,      34.090,      31.384
04/05/1974 00:00,      31.384,      29.758,      28.219
05/05/1974 00:00,      28.219,      26.918,      26.091
06/05/1974 00:00,      26.091,      24.531,      22.960
07/05/1974 00:00,      24.358,      23.293,      22.896
08/05/1974 00:00,      67.487,      33.385,      24.358
09/05/1974 00:00,     251.683,     161.336,      67.487
10/05/1974 00:00,     143.338,     117.093,      90.082
11/05/1974 00:00,      95.990,      73.773,      58.641
12/05/1974 00:00,     219.389,      58.856,      50.371
13/05/1974 00:00,     528.509,     294.290,     180.317
14/05/1974 00:00,     415.169,     223.436,     132.889
15/05/1974 00:00,     132.889,     109.136,      97.546
16/05/1974 00:00,     112.925,     105.993,      99.024
17/05/1974 00:00,      99.024,      87.439,      71.155
18/05/1974 00:00,      71.155,      62.028,      53.778
19/05/1974 00:00,      53.778,      49.624,      46.630
20/05/1974 00:00,      46.630,      44.390,      41.189
21/05/1974 00:00,      50.160,      41.728,      40.176
22/05/1974 00:00,     166.261,      95.547,      50.160
23/05/1974 00:00,     281.578,     218.193,     166.261
24/05/1974 00:00,     189.235,     150.088,     112.531
25/05/1974 00:00,     112.531,      93.577,      81.153
26/05/1974 00:00,      81.153,      72.506,      66.091
27/05/1974 00:00,      66.091,      60.997,      57.576
28/05/1974 00:00,      57.576,      55.395,      53.755
29/05/1974 00:00,      53.755,      51.776,      49.521
30/05/1974 00:00,      49.521,      47.437,      45.328
31/05/1974 00:00,      45.328,      43.381,      41.989
01/06/1974 00:00,      41.989,      41.118,      40.247
02/06/1974 00:00,      40.247,      38.036,      35.580
03/06/1974 00:00,      39.152,      36.041,      35.510
04/06/1974 00:00,      44.582,      42.727,      39.152
05/06/1974 00:00,      42.211,      41.577,      40.646
06/06/1974 00:00,      43.321,      42.384,      41.990
07/06/1974 00:00,     115.603,      65.463,      43.321
08/06/1974 00:00,     162.691,     129.152,     107.654
09/06/1974 00:00,     121.219,      93.055,      74.806
10/06/1974 00:00,      74.806,      68.451,      63.822
11/06/1974 00:00,      63.822,      62.127,      60.653
12/06/1974 00:00,      61.396,      57.300,      53.827
13/06/1974 00:00,      55.210,      54.055,      52.006
14/06/1974 00:00,      52.006,      49.705,      47.460
15/06/1974 00:00,      47.460,      45.573,      43.896
16/06/1974 00:00,      43.896,      42.293,      40.779
17/06/1974 00:00,      40.779,      39.900,      39.265
18/06/1974 00:00,      39.265,      38.706,      38.189
19/06/1974 00:00,      41.472,      39.344,      37.757
20/06/1974 00:00,      51.840,      45.877,      41.141
21/06/1974 00:00,      46.938,      45.540,      44.821
22/06/1974 00:00,      51.149,      44.877,      42.768
23/06/1974 00:00,      51.146,      46.748,      44.535
24/06/1974 00:00,      44.535,      43.060,      41.308
25/06/1974 00:00,      41.308,      39.382,      38.534
26/06/1974 00:00,      38.966,      38.617,      38.032
27/06/1974 00:00,      71.453,      42.602,      36.374
28/06/1974 00:00,     105.062,      60.432,      40.608
